name,version,directory,repository,summary,from package.json,from license,from readme
acorn,1.2.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/falafel/node_modules/acorn,(none),MIT,MIT,,
acorn,4.0.13,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/acorn-dynamic-import/node_modules/acorn,(none),MIT,MIT,,
acorn,5.7.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/acorn,https://github.com/acornjs/acorn,MIT,MIT,,
acorn-dynamic-import,2.0.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/acorn-dynamic-import,https://github.com/kesne/acorn-dynamic-import,MIT,MIT,MIT,
address,1.0.3,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/address,http://github.com/node-modules/address,MIT,MIT,MIT,
adm-zip,0.4.11,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/adm-zip,https://github.com/cthackers/adm-zip,MIT,MIT,,
after,0.8.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/after,http://github.com/Raynos/after,MIT,MIT,,MIT
agent-base,2.1.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/agent-base,http://github.com/TooTallNate/node-agent-base,MIT,MIT,,MIT
agent-base,4.2.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/sauce-connect-launcher/node_modules/agent-base,(none),MIT,MIT,,MIT
airbnb-js-shims,1.6.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/airbnb-js-shims,http://github.com/airbnb/js-shims,MIT,MIT,,
ajv,5.5.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/har-validator/node_modules/ajv,(none),MIT,MIT,MIT,
ajv,6.5.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/ajv,https://github.com/epoberezkin/ajv,MIT,MIT,MIT,
ajv-keywords,3.2.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/ajv-keywords,https://github.com/epoberezkin/ajv-keywords,MIT,MIT,MIT,
align-text,0.1.4,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/align-text,http://github.com/jonschlinkert/align-text,MIT,MIT,MIT,MIT
alphanum-sort,1.0.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/alphanum-sort,https://github.com/TrySound/alphanum-sort,MIT,MIT,,MIT
ansi-escapes,3.1.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/ansi-escapes,sindresorhus/ansi-escapes,MIT,MIT,MIT,MIT
ansi-html,0.0.7,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/ansi-html,http://github.com/Tjatse/ansi-html,Apache;Apache-2.0,Apache-2.0,Apache,
ansi-regex,2.1.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/ansi-regex,chalk/ansi-regex,MIT,MIT,MIT,MIT
ansi-regex,3.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/jest-junit/node_modules/ansi-regex,(none),MIT,MIT,MIT,MIT
ansi-regex,4.1.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/jest-junit/node_modules/pretty-format/node_modules/ansi-regex,(none),MIT,MIT,MIT,MIT
ansi-styles,2.2.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-code-frame/node_modules/ansi-styles,(none),MIT,MIT,MIT,MIT
ansi-styles,3.2.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/ansi-styles,chalk/ansi-styles,MIT,MIT,MIT,MIT
anymatch,1.3.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-cli/node_modules/anymatch,(none),ISC,ISC,ISC,
anymatch,2.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/anymatch,https://github.com/micromatch/anymatch,ISC,ISC,ISC,
apollo-fetch,0.7.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/apollo-fetch,https://github.com/apollographql/apollo-fetch/tree/master/packages/apollo-fetch,MIT,MIT,,
aproba,1.2.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/aproba,https://github.com/iarna/aproba,ISC,ISC,,
are-we-there-yet,1.1.5,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/are-we-there-yet,https://github.com/iarna/are-we-there-yet,ISC,ISC,,
argparse,1.0.10,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/argparse,nodeca/argparse,MIT,MIT,MIT,MIT
argsarray,0.0.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/argsarray,http://github.com/calvinmetcalf/argsarray,WTFPL,WTFPL,WTFPL,
argv,0.0.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/argv,(none),MIT,,MIT,MIT
arr-diff,2.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-cli/node_modules/arr-diff,(none),MIT,MIT,MIT,MIT
arr-diff,4.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/arr-diff,jonschlinkert/arr-diff,MIT,MIT,MIT,
arr-flatten,1.1.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/arr-flatten,jonschlinkert/arr-flatten,MIT,MIT,MIT,
arr-union,3.1.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/arr-union,jonschlinkert/arr-union,MIT,MIT,MIT,
array-filter,0.0.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array-filter,http://github.com/juliangruber/array-filter,MIT,MIT,,MIT
array-find,1.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array-find,https://github.com/stefanduberg/array-find,MIT,MIT,MIT,MIT
array-flatten,1.1.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array-flatten,http://github.com/blakeembrey/array-flatten,MIT,MIT,MIT,MIT
array-includes,3.0.3,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array-includes,http://github.com/ljharb/array-includes,MIT,MIT,MIT,
array-map,0.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array-map,http://github.com/substack/array-map,MIT,MIT,MIT,MIT
array-reduce,0.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array-reduce,http://github.com/substack/array-reduce,MIT,MIT,MIT,MIT
array-unique,0.2.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-cli/node_modules/array-unique,(none),MIT,MIT,MIT,MIT
array-unique,0.3.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array-unique,jonschlinkert/array-unique,MIT,MIT,MIT,
array.prototype.flat,1.2.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array.prototype.flat,http://github.com/es-shims/Array.prototype.flat,MIT,MIT,MIT,
array.prototype.flatmap,1.2.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array.prototype.flatmap,http://github.com/es-shims/Array.prototype.flatMap,MIT,MIT,MIT,
array.prototype.flatten,1.2.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/array.prototype.flatten,http://github.com/es-shims/Array.prototype.flatten,MIT,MIT,MIT,
arraybuffer.slice,0.0.6,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/engine.io/node_modules/arraybuffer.slice,(none),MIT,,,MIT
arraybuffer.slice,0.0.7,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/arraybuffer.slice,git@github.com:rase-/arraybuffer.slice,MIT,MIT,,MIT
asap,2.0.6,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/asap,https://github.com/kriskowal/asap,MIT,MIT,,MIT
asn1,0.2.3,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/asn1,http://github.com/mcavage/node-asn1,MIT,MIT,,
asn1.js,4.10.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/asn1.js,git@github.com:indutny/asn1.js,MIT,MIT,,MIT
assert,1.4.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/assert,http://github.com/defunctzombie/commonjs-assert,MIT,MIT,,
assert-plus,1.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/assert-plus,https://github.com/mcavage/node-assert-plus,MIT,MIT,,MIT
assertion-error,1.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/assertion-error,git@github.com:chaijs/assertion-error,MIT,MIT,,MIT
assign-symbols,1.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/assign-symbols,jonschlinkert/assign-symbols,MIT,MIT,MIT,MIT
ast-types,0.8.15,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/unreachable-branch-transform/node_modules/ast-types,(none),MIT,MIT,,
ast-types,0.9.6,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/es6-templates/node_modules/ast-types,(none),MIT,MIT,,
ast-types,0.10.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/ast-types,http://github.com/benjamn/ast-types,MIT,MIT,,
async,2.6.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/async,https://github.com/caolan/async,MIT,MIT,,
async-each,1.0.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/async-each,http://github.com/paulmillr/async-each,MIT,MIT,,MIT
async-limiter,1.0.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/async-limiter,https://github.com/strml/async-limiter,MIT,MIT,MIT,
asynckit,0.4.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/asynckit,https://github.com/alexindigo/asynckit,MIT,MIT,MIT,MIT
atob,2.1.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/atob,http://git.coolaj86.com/coolaj86/atob.js,(MIT OR Apache-2.0);Apache;MIT,(MIT OR Apache-2.0),Apache;MIT,MIT
autoprefixer,6.7.7,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/cssnano/node_modules/autoprefixer,(none),MIT,MIT,MIT,
autoprefixer,7.2.6,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/autoprefixer,postcss/autoprefixer,MIT,MIT,MIT,
aws-sign2,0.7.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/aws-sign2,https://github.com/mikeal/aws-sign,Apache;Apache-2.0,Apache-2.0,Apache,
aws4,1.7.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/aws4,https://github.com/mhart/aws4,MIT,MIT,,
babel-cli,6.26.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-cli,https://github.com/babel/babel/tree/master/packages/babel-cli,MIT,MIT,,
babel-code-frame,6.26.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-code-frame,https://github.com/babel/babel/tree/master/packages/babel-code-frame,MIT,MIT,,
babel-core,6.26.3,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-core,https://github.com/babel/babel/tree/master/packages/babel-core,MIT,MIT,,
babel-generator,6.26.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-generator,https://github.com/babel/babel/tree/master/packages/babel-generator,MIT,MIT,,
babel-helper-bindify-decorators,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-bindify-decorators,https://github.com/babel/babel/tree/master/packages/babel-helper-bindify-decorators,MIT,MIT,,
babel-helper-builder-binary-assignment-operator-visitor,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-builder-binary-assignment-operator-visitor,https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor,MIT,MIT,,
babel-helper-builder-react-jsx,6.26.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-builder-react-jsx,https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx,MIT,MIT,,
babel-helper-call-delegate,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-call-delegate,https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate,MIT,MIT,,
babel-helper-define-map,6.26.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-define-map,https://github.com/babel/babel/tree/master/packages/babel-helper-define-map,MIT,MIT,,
babel-helper-evaluate-path,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-evaluate-path,https://github.com/babel/minify/tree/master/packages/babel-helper-evaluate-path,MIT,MIT,,
babel-helper-explode-assignable-expression,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-explode-assignable-expression,https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression,MIT,MIT,,
babel-helper-explode-class,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-explode-class,https://github.com/babel/babel/tree/master/packages/babel-helper-explode-class,MIT,MIT,,
babel-helper-flip-expressions,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-flip-expressions,https://github.com/babel/minify/tree/master/packages/babel-helper-flip-expressions,MIT,MIT,,
babel-helper-function-name,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-function-name,https://github.com/babel/babel/tree/master/packages/babel-helper-function-name,MIT,MIT,,
babel-helper-get-function-arity,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-get-function-arity,https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity,MIT,MIT,,
babel-helper-hoist-variables,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-hoist-variables,https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables,MIT,MIT,,
babel-helper-is-nodes-equiv,0.0.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-is-nodes-equiv,https://github.com/babel/babili/tree/master/packages/babel-helper-is-nodes-equiv,MIT,MIT,,
babel-helper-is-void-0,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-is-void-0,https://github.com/babel/minify/tree/master/packages/babel-helper-is-void-0,MIT,MIT,,
babel-helper-mark-eval-scopes,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-mark-eval-scopes,https://github.com/babel/minify/tree/master/packages/babel-helper-mark-eval-scopes,MIT,MIT,,
babel-helper-optimise-call-expression,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-optimise-call-expression,https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression,MIT,MIT,,
babel-helper-regex,6.26.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-regex,https://github.com/babel/babel/tree/master/packages/babel-helper-regex,MIT,MIT,,
babel-helper-remap-async-to-generator,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-remap-async-to-generator,https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator,MIT,MIT,,
babel-helper-remove-or-void,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-remove-or-void,https://github.com/babel/minify/tree/master/packages/babel-helper-remove-or-void,MIT,MIT,,
babel-helper-replace-supers,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-replace-supers,https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers,MIT,MIT,,
babel-helper-to-multiple-sequence-expressions,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helper-to-multiple-sequence-expressions,https://github.com/babel/minify/tree/master/packages/babel-helper-to-multiple-sequence-expressions,MIT,MIT,,
babel-helpers,6.24.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-helpers,https://github.com/babel/babel/tree/master/packages/babel-helpers,MIT,MIT,,
babel-loader,7.1.4,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-loader,https://github.com/babel/babel-loader,MIT,MIT,MIT,
babel-messages,6.23.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-messages,https://github.com/babel/babel/tree/master/packages/babel-messages,MIT,MIT,,
babel-plugin-check-es2015-constants,6.22.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-plugin-check-es2015-constants,https://github.com/babel/babel/tree/master/packages/babel-plugin-check-es2015-constants,MIT,MIT,,
babel-plugin-macros,2.2.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-plugin-macros,https://github.com/kentcdodds/babel-plugin-macros,MIT,MIT,MIT,MIT
babel-plugin-minify-builtins,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-plugin-minify-builtins,https://github.com/babel/minify/tree/master/packages/babel-plugin-minify-builtins,MIT,MIT,,
babel-plugin-minify-constant-folding,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-plugin-minify-constant-folding,https://github.com/babel/minify/tree/master/packages/babel-plugin-minify-constant-folding,MIT,MIT,,
babel-plugin-minify-dead-code-elimination,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-plugin-minify-dead-code-elimination,https://github.com/babel/minify/tree/master/packages/babel-plugin-minify-dead-code-elimination,MIT,MIT,,
babel-plugin-minify-flip-comparisons,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-plugin-minify-flip-comparisons,https://github.com/babel/minify/tree/master/packages/babel-plugin-minify-flip-comparisons,MIT,MIT,,
babel-plugin-minify-guarded-expressions,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-plugin-minify-guarded-expressions,https://github.com/babel/minify/tree/master/packages/babel-plugin-minify-guarded-expressions,MIT,MIT,,
babel-plugin-minify-infinity,0.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/babel-plugin-minify-infinity,https://github.com/babel/minify/tree/master/packages/babel-plugin-minify-infinity,MIT,MIT,,
